views,likes_x,dislikes,comment_total,L/D,likes_y,replies,poitive_score,negative_score,neutral_score,compound_score
3528210,143035,1738,5724,82.2986191024172,0.44472361809045224,0.017587939698492462,0.2910276381909548,0.04625376884422111,0.660213567839196,0.37479396984924623
1616537,8359,346,1083,24.158959537572404,0.9505813953488372,0.09302325581395349,0.21070639534883723,0.04650290697674419,0.739892441860465,0.21491075581395344
20710,1508,213,122,7.0798122065727895,3.142857142857143,0.5535714285714286,0.1718214285714286,0.07659523809523809,0.7515833333333328,0.14230297619047624
190263,13213,114,1826,115.90350877193003,0.025,0.005,0.17619500000000005,0.06694499999999995,0.7568500000000001,0.3065744999999998
49407,679,13,86,52.23076923076926,7.5,0.6428571428571429,0.19973809523809521,0.05452380952380952,0.7458095238095238,0.29969047619047623
2179594,39250,946,1158,41.490486257927905,1.2377740303541316,0.09274873524451939,0.16819392917369302,0.06761382799325463,0.7574435075885332,0.13641281618887005
22281,507,9,0,56.333333333333336,,,0.0,0.0,1.0,0.0
740821,18808,585,678,32.15042735042734,1.855,0.6616666666666666,0.11771333333333321,0.11411500000000004,0.7681933333333333,0.01250199999999999
288222,2003,77,208,26.012987012986933,12.86411149825784,1.0801393728222997,0.11356794425087108,0.06494773519163761,0.8214878048780486,0.061208013937282285
120570,5449,176,612,30.960227272727543,0.22,0.146,0.20224600000000004,0.12201000000000013,0.6757480000000001,0.14454979999999995
508618,17652,468,854,37.71794871794872,0.54,0.17,0.20336,0.09461000000000003,0.70205,0.169439
317093,7438,153,526,48.61437908496736,5.5775,0.5925,0.19106000000000006,0.06570999999999995,0.7432374999999998,0.20895974999999972
242117,3883,105,246,36.980952380952324,14.14,0.78,0.14193999999999998,0.08028,0.7777899999999999,0.090518
199994,12376,146,894,84.76712328767184,0.112,0.0,0.20631400000000008,0.06273799999999999,0.7209220000000002,0.2507994
538312,13722,605,1138,22.680991735536892,0.18095238095238095,0.017142857142857144,0.21154285714285706,0.07074476190476192,0.7157980952380957,0.19844495238095242
2735713,1312,94,702,13.957446808510655,1.1233333333333333,0.3433333333333333,0.10240333333333335,0.11902666666666664,0.7785699999999998,-0.071682
1337016,88227,1145,21867,77.0541484716159,158.652,2.302,0.155564,0.050016000000000005,0.7824220000000005,0.16920399999999985
1287641,14600,1220,2294,11.967213114754106,0.09,0.0,0.16503999999999996,0.07730000000000001,0.7576500000000002,0.16495800000000002
8413,23,2,10,11.5,0.0,0.0,0.2335,0.043333333333333335,0.7231666666666667,0.22690000000000002
82566,74,120,6,0.6166666666666667,1.3333333333333333,0.6666666666666666,0.011333333333333334,0.24133333333333332,0.7473333333333333,-0.5193666666666666
82199,1194,51,194,23.41176470588239,4.46,0.3,0.19839999999999997,0.09117999999999998,0.7104199999999997,0.216907
1496264,16702,3071,2874,5.438619342233782,0.1225,0.0175,0.13768750000000007,0.1599599999999999,0.7023599999999998,-0.056746749999999985
2911448,74375,2150,11223,34.59302325581432,0.04408817635270541,0.02404809619238477,0.11760120240480956,0.1349358717434869,0.7474549098196387,0.017480160320641296
27916,364,22,93,16.54545454545452,2.4846153846153847,1.1153846153846154,0.15063076923076926,0.06186153846153849,0.7875076923076924,0.13515923076923084
200178,11993,121,652,99.11570247933857,0.2,0.04,0.24003999999999986,0.07815000000000004,0.6817974999999997,0.28771874999999975
390669,1805,72,302,25.069444444444365,7.277777777777778,1.1666666666666667,0.19006565656565658,0.0928737373737374,0.7170505050505052,0.14573989898989897
124278,3132,62,161,50.516129032258156,5.515151515151516,0.13131313131313133,0.30353535353535355,0.042823232323232326,0.6536464646464648,0.3751257575757574
102848,1054,176,214,5.988636363636353,9.478260869565217,0.855072463768116,0.20289855072463775,0.07990338164251207,0.7172028985507248,0.1631454106280194
277422,14240,138,515,103.18840579710192,0.154,0.018,0.2195059999999999,0.05773400000000002,0.7227480000000002,0.2774883999999999
282975,2525,46,333,54.89130434782619,2.602409638554217,0.3493975903614458,0.18433433734939744,0.09683734939759038,0.7188283132530121,0.08218734939759041
150773,1696,550,653,3.0836363636363564,4.551282051282051,0.7307692307692307,0.1402628205128205,0.11264102564102565,0.7470897435897437,0.048362820512820544
2181765,31174,5842,9919,5.3361862375898825,0.095,0.04,0.10804,0.15993000000000004,0.7270350000000001,-0.10049500000000001
536693,20794,419,3367,49.62768496420033,0.03,0.0,0.20591666666666683,0.03189666666666668,0.762186666666667,0.311452
6005,26,94,135,0.27659574468085096,4.073846153846154,0.6369230769230769,0.07875384615384613,0.15519384615384624,0.7660646153846149,-0.18307846153846138
1150895,8900,3174,1798,2.8040327662255833,0.784,0.042,0.16424000000000002,0.14258600000000002,0.6891600000000005,0.0224298
1404748,11436,791,5183,14.457648546144126,0.25,0.02,0.16343999999999997,0.07322000000000001,0.7633399999999998,0.13405600000000004
1091561,75196,1139,7456,66.01931518876174,0.176,0.052,0.257022,0.04291000000000001,0.7000700000000006,0.38989640000000014
748105,15750,2544,2154,6.191037735849035,0.22,0.016666666666666666,0.15119,0.13816,0.7106400000000006,0.02842633333333334
497292,9834,590,615,16.667796610169624,0.3433333333333333,0.14333333333333334,0.11513666666666672,0.06618,0.8186999999999998,0.1045983333333333
1689730,17709,1171,2035,15.122971818958256,0.10344827586206896,0.035919540229885055,0.13543821839080455,0.07125718390804592,0.7904295977011493,0.10371063218390801
167796,6934,126,350,55.03174603174614,0.31313131313131315,0.06060606060606061,0.21789898989898984,0.052727272727272734,0.729393939393939,0.38576060606060597
3217449,52223,30134,0,1.733025818012876,,,0.0,0.0,1.0,0.0
1354359,14872,615,1281,24.182113821138078,0.346,0.01,0.16118200000000016,0.12398399999999997,0.7148439999999998,0.06464560000000004
26578,662,50,110,13.240000000000007,2.942857142857143,0.24285714285714285,0.21934285714285714,0.17117142857142859,0.6095285714285714,0.021168571428571432
162838,5717,69,428,82.85507246376802,0.718,0.154,0.15851599999999996,0.03730200000000001,0.8041979999999996,0.23404879999999975
378726,18140,713,3066,25.44179523141629,10.265,1.585,0.10441750000000001,0.06927499999999998,0.8263200000000004,0.06689525000000002
229576,7943,268,1314,29.638059701492367,2.03,0.1875,0.2565025000000001,0.07488000000000002,0.6686124999999996,0.41356925000000033
504791,1726,2406,1097,0.7173732335827071,0.484251968503937,0.08661417322834646,0.13124015748031495,0.1328976377952756,0.7359015748031502,0.026844291338582668
915846,48302,306,1733,157.84967320261597,50.85,0.8525,0.22557499999999997,0.07142749999999999,0.7030100000000004,0.22082950000000004
1445599,46752,947,2937,49.36853220696902,0.165,0.025,0.09026749999999999,0.11144499999999996,0.7932799999999998,-0.0357955
179848,2461,83,156,29.650602409638577,16.6,1.0461538461538462,0.1528153846153846,0.07458461538461539,0.7725692307692309,0.08108307692307691
110725,5796,81,574,71.555555555555,0.9075,0.095,0.1425825,0.046432500000000015,0.8110099999999997,0.15216024999999994
