title,views,likes_x,dislikes,comment_total,L/D,likes_y,replies,poitive_score,negative_score,neutral_score,compound_score
Carmelo Anthony or Dwyane Wade: Who was bigger pick-up? | First Take | ESPN,424751.0,3328.0,181.0,1388.0,18.386740331491744,0.09819639278557114,0.02004008016032064,0.13923847695390784,0.09461523046092189,0.7561042084168333,0.12708296593186352
Carmelo Anthony will start as PF for Thunder | ESPN,26827.0,468.0,12.0,242.0,39.0,4.584905660377358,2.4716981132075473,0.10860377358490567,0.11537735849056603,0.757150943396226,-0.030675471698113205
Carson Palmer Leads Opening TD Drive vs. Dallas | Cowboys vs. Cardinals | NFL Wk 3 Highlights,118344.0,457.0,182.0,366.0,2.5109890109890096,3.5308641975308643,1.9794238683127572,0.14169547325102877,0.1455514403292181,0.7127448559670782,0.015283950617283947
"Cassie On Marriage, Dealing w/ Rumors & Short Film",67512.0,637.0,50.0,335.0,12.739999999999872,3.591478696741855,0.40852130325814534,0.15226817042606505,0.12242105263157896,0.7152756892230575,0.015588220551378444
Cassini Burns into Saturn After Grand Finale | Out There,77053.0,2007.0,50.0,236.0,40.140000000000136,1.1421319796954315,0.08629441624365482,0.22645177664974608,0.08968020304568528,0.6838883248730969,0.1867771573604061
Cassini's Last Looks at Saturn,168337.0,2453.0,36.0,245.0,68.13888888888943,1.4120603015075377,0.10804020100502512,0.18027638190954756,0.076321608040201,0.743409547738694,0.20875502512562813
Castle Rock - First Look Teaser  (Official) • A Hulu Original,317802.0,2181.0,208.0,431.0,10.48557692307691,1.9435897435897436,0.15897435897435896,0.14760512820512822,0.06628717948717949,0.7861076923076924,0.14388205128205123
Casually Explained: Evolution IV - Hello Universe,705423.0,37292.0,678.0,1393.0,55.002949852507314,0.0903010033444816,0.020066889632107024,0.24057859531772582,0.049448160535117046,0.7100167224080269,0.25328561872909694
Casually Explained: Is She Into You II - What's the worst that could happen?,1516624.0,76278.0,1541.0,3989.0,49.4990266060997,0.23115577889447236,0.035175879396984924,0.1874522613065327,0.09884924623115579,0.7137085427135677,0.1069040201005026
Cat vs Dog - Best Support Class,373506.0,21420.0,696.0,5412.0,30.775862068965573,8.112224448897795,0.3026052104208417,0.14948496993987956,0.06536472945891779,0.7851402805611214,0.20109418837675364
Catalonia referendum: 'Spanish authorities are the criminals',265678.0,1852.0,431.0,1499.0,4.29698375870068,0.11073825503355705,0.12080536912751678,0.1148154362416108,0.11636577181208053,0.7688221476510066,-0.053685570469798646
Catalonia referendum: Voters confront police in Barcelona,181018.0,1001.0,167.0,1733.0,5.994011976047895,0.1919191919191919,0.010101010101010102,0.2098080808080808,0.0988080808080808,0.6812828282828282,0.09588888888888887
Cats Can Be A Real Pain In The Grass - Simon's Cat | STORYTIME,299817.0,10108.0,201.0,420.0,50.2885572139309,2.623246492985972,0.35470941883767537,0.23159118236472948,0.05537675350701403,0.7130120240480953,0.29004629258517006
"Cavuto: Loyalty works both ways, Mr. President",450767.0,5256.0,1139.0,2666.0,4.614574187884093,0.22055137844611528,0.012531328320802004,0.14272932330827062,0.14855388471177947,0.70868671679198,0.003462907268170426
Celebrities Read Mean Tweets #11,13740234.0,199814.0,7276.0,14057.0,27.462067069818648,0.10033444816053512,0.013377926421404682,0.2177558528428093,0.09385284280936453,0.6817056856187296,0.17502575250836128
Chain Snaps and Smashes through Windshield,18788.0,25.0,14.0,25.0,1.7857142857142856,3.5384615384615383,0.5641025641025641,0.0,0.15707692307692306,0.842923076923077,-0.2097076923076923
Chance the rapper gets pulled over in Chicago I have Faith,190799.0,191.0,679.0,398.0,0.2812960235640663,0.8774193548387097,0.13548387096774195,0.1109387096774194,0.206051612903226,0.6830258064516129,-0.17902612903225804
Channing Tatum Grooms James Corden for Magic Mike Live,2179594.0,39250.0,946.0,1158.0,41.490486257927905,1.1064189189189189,0.07432432432432433,0.1676131756756756,0.06772804054054053,0.7578986486486489,0.1351981418918918
Charades with Gal Gadot and Miley Cyrus,123176.0,8655.0,112.0,890.0,77.27678571428558,0.0,0.0,0.2480919540229885,0.08573563218390805,0.666183908045977,0.23727816091954024
Chargers vs. Broncos | NFL Week 1 Game Highlights,829793.0,6501.0,386.0,2582.0,16.84196891191718,0.07614213197969544,0.005076142131979695,0.13637055837563455,0.10346192893401013,0.760162436548223,0.08273857868020305
Charles Bradley as Black Velvet: A Tribute to James Brown [LIVE],17978.0,55.0,1.0,9.0,55.0,0.0,0.0,0.914,0.0,0.086,0.8908
Charles Bukowski - Bluebird (read by Harry Dean Stanton),6668.0,77.0,1.0,17.0,77.0,0.25,0.08333333333333333,0.14250000000000002,0.0,0.8574999999999999,0.23877500000000004
Charlie Puth - How Long [Official Video],8613469.0,499205.0,5612.0,38995.0,88.95313613684988,0.2040133779264214,0.0033444816053511705,0.23379933110367895,0.0322876254180602,0.7339130434782615,0.2865591973244144
Charlie Puth Plays Coy About the Subject of His 'Attention',137104.0,4813.0,81.0,449.0,59.419753086419696,0.7171717171717171,0.030303030303030304,0.1811919191919192,0.03494949494949496,0.7838686868686869,0.19242020202020205
Charlie Puth – How Long [Official Audio],3427980.0,185837.0,1393.0,12509.0,133.4077530509679,0.17024320457796852,0.011444921316165951,0.23427610872675245,0.03716452074391989,0.7285608011444922,0.25971244635193147
Chasing Pavements - Adele (1920s Gatsby Style Cover) ft. Hannah Gill,255114.0,11746.0,125.0,700.0,93.9680000000005,0.08361204013377926,0.0,0.3058595317725753,0.04949498327759198,0.6446287625418062,0.3743020066889631
Chemotherapy Effects Not Working!,359654.0,14511.0,134.0,2224.0,108.29104477611914,0.5363408521303258,0.03258145363408521,0.25005012531328336,0.05346616541353384,0.6939924812030074,0.3900949874686714
Chewy Salted Chocolate Caramels | Cupcake Jemma,87943.0,4070.0,46.0,179.0,88.47826086956505,0.8763636363636363,0.4909090909090909,0.27266181818181806,0.020334545454545456,0.707010909090909,0.37400290909090894
"Chicago Bulls vs Dallas Mavericks - Full Game Highlights | Oct 4, 2017 | 2017-18 NBA Preseason",49442.0,214.0,10.0,81.0,21.40000000000003,3.567901234567901,1.1604938271604939,0.1349012345679012,0.12223456790123456,0.7429012345679012,0.13433086419753093
Chicken Fajita Soup Recipe | Episode 1195,91070.0,3801.0,79.0,200.0,48.113924050633,0.9874686716791979,0.20050125313283207,0.2702756892230578,0.018749373433583964,0.710964912280702,0.41712080200501245
Chiefs vs. Raiders | NFL Week 7 Game Highlights,1297344.0,18729.0,669.0,4954.0,27.995515695067294,0.2814070351758794,0.035175879396984924,0.18847738693467336,0.09839195979899498,0.7131155778894478,0.17594170854271354
Chris Hemsworth and Mark Ruffalo Australian Interview - Secret Plot Twist Revealed?  (2017),246016.0,376.0,69.0,104.0,5.4492753623188355,6.089285714285714,1.15625,0.10822767857142855,0.1345982142857143,0.7571696428571429,-0.06812008928571425
Chris Orr Makes a House Call vs. Nebraska,46530.0,208.0,115.0,98.0,1.8086956521739108,5.574468085106383,0.6808510638297872,0.122531914893617,0.14108510638297872,0.7363617021276593,0.04404468085106385
Chris Rock Had to Reassure Michelle Obama at the White House Party | The Graham Norton Show,767861.0,7008.0,769.0,1059.0,9.113133940182058,1.252931323283082,0.2730318257956449,0.13621440536013407,0.059137353433835825,0.8046566164154098,0.13807755443886088
Chris Young - Blacked Out (Audio),47507.0,1453.0,26.0,42.0,55.88461538461535,1.5666666666666667,0.21666666666666667,0.29069999999999996,0.0449,0.6643666666666667,0.3700783333333334
Chris Young - Hangin' On (Lyric Video),78721.0,2895.0,28.0,86.0,103.39285714285764,2.0350877192982457,0.11695906432748537,0.38183333333333336,0.008742690058479531,0.6093947368421054,0.5078201754385959
Chris Young - Losing Sleep,319412.0,5750.0,272.0,289.0,21.139705882353123,0.6208869814020028,0.10157367668097282,0.247969957081545,0.05436909871244637,0.6976380543633766,0.2966530758226037
Chris Young - Where I Go When I Drink (Lyric Video),185499.0,4978.0,79.0,126.0,63.01265822784865,1.4461279461279462,0.18855218855218855,0.2954966329966329,0.05055218855218853,0.6539595959595956,0.3585841750841751
Cider-Braised Pork Shoulder - Pork Stewed in a Creamy Apple Cider Sauce,162838.0,5717.0,69.0,428.0,82.85507246376802,0.5651302605210421,0.13827655310621242,0.15776152304609214,0.03714829659318638,0.8051062124248494,0.2331144288577152
Clash of Clans - Builder Hall 7 UPDATE!,1953823.0,45960.0,2708.0,2048.0,16.97193500738557,0.0,0.0,0.1937486033519553,0.0618268156424581,0.7443910614525139,0.11964525139664806
Clash of Clans: Builder Hall 7 Update Coming Soon!,2785219.0,52036.0,2316.0,5828.0,22.468048359240115,0.17391304347826086,0.05016722408026756,0.2287926421404681,0.0805284280936455,0.6873110367892978,0.15372040133779263
Clay Travis stuns CNN host when he says he believes in two things: the First Amendment and Boobs,1303995.0,2127.0,75.0,1577.0,28.35999999999988,0.22818791946308725,0.0,0.15825167785234906,0.15607718120805375,0.6822785234899329,-0.0041231543624161
Close look at Victoria Beckham Make up Products,120171.0,4821.0,121.0,465.0,39.84297520661139,0.20551378446115287,0.045112781954887216,0.29985213032581454,0.03434085213032581,0.6657919799498748,0.46010451127819585
Clueless Gamer: Shadow Of War With Kumail Nanjiani  - CONAN on TBS,1529009.0,37314.0,1099.0,3084.0,33.95268425841649,0.09682804674457429,0.06844741235392321,0.182711185308848,0.11919532554257097,0.698101836393988,0.11606994991652751
Cod Liver Taste Test,444096.0,9581.0,437.0,1199.0,21.924485125857924,0.08617234468937876,0.0,0.139122244488978,0.06858517034068135,0.7843206412825655,0.14110881763527047
Colbert Reveals What Letterman Taught Him,566996.0,5111.0,585.0,474.0,8.7367521367522,3.1269035532994924,0.35786802030456855,0.1343629441624365,0.1256142131979696,0.7400076142131976,-0.001031218274111677
Colbert To Trump: 'Doing Nothing Is Cowardice',1819923.0,57412.0,7235.0,14963.0,7.935314443676582,0.1414141414141414,0.08080808080808081,0.11681818181818181,0.15849494949494944,0.7246464646464644,-0.19446868686868676
Colin Cloud: Mind Reader Predicts Your Tweets - America's Got Talent 2017,990274.0,22897.0,639.0,2430.0,35.83255086071974,0.11557788944723618,0.02512562814070352,0.14022110552763822,0.0851005025125628,0.7746733668341709,0.1556201005025126
Colts vs. Seahawks | NFL Week 4 Game Highlights,738058.0,5990.0,291.0,874.0,20.584192439862584,0.12794612794612795,0.020202020202020204,0.13442760942760948,0.0865185185185185,0.7723131313131313,0.12562053872053866
Coming Out?,52280.0,4740.0,23.0,400.0,206.0869565217382,0.017421602787456445,0.0,0.2766062717770035,0.06948083623693381,0.6539337979094075,0.45311428571428564
Conan Invites Himself To Gal Gadot's Apartment  - CONAN on TBS,779258.0,11656.0,387.0,753.0,30.11886304909591,0.7595190380761523,0.1282565130260521,0.20566332665330672,0.11010621242484972,0.6822344689378756,0.18984108216432852
Confederacy: Last Week Tonight with John Oliver (HBO),4968915.0,131224.0,11071.0,28661.0,11.85294914641866,0.0783132530120482,0.08634538152610442,0.1281767068273093,0.12318473895582319,0.7486646586345378,-0.12592971887550214
Confession: I'm Always SWEATY! Hyperhidrosis Tips! | Jackie Aina,193900.0,15259.0,214.0,2887.0,71.3037383177569,0.0,0.003424657534246575,0.1826335616438356,0.07444863013698631,0.7428938356164385,0.2830325342465752
Cookbook drops tomorrow!,214254.0,8348.0,106.0,729.0,78.75471698113249,0.24812030075187969,0.005012531328320802,0.15195238095238103,0.04357894736842105,0.8044987468671678,0.2034972431077694
