title,views,likes_x,dislikes,comment_total,L/D,likes_y,replies,poitive_score,negative_score,neutral_score,compound_score,compound_score_comm
Best Wash-N-Go EVER! | Natural Hair,70089,6122,65,388,94.18461538461538,11.0,1.0,0.523,0.0,0.477,0.7639,0.7901
Bicycle Law Breaker,2482,6,19,32,0.3157894736842105,13.0,1.0,0.0,0.14,0.86,-0.4767,0.0
Big Little Lies: The Lessons We Learn,18492,788,23,80,34.26086956521739,55.0,3.0,0.266,0.076,0.658,0.8449,-0.3626
Biggest Winners & Losers at The Emmys 2017! - SJU,48014,1409,176,233,8.005681818181818,50.0,0.0,0.418,0.09,0.492,0.8395,-0.1511
Bill Skarsgård's Demonic “IT Smile  - CONAN on TBS,4789657,59921,1247,3796,48.05212510024058,2.0,0.0,0.0,0.0,1.0,0.0,0.3612
Billie Eilish - watch,174643,19095,177,2165,107.88135593220339,34.0,2.0,0.106,0.178,0.716,-0.2755,0.0
Billy Eichner: No One Would Talk To Sean Spicer At The Emmys  - CONAN on TBS,150773,1696,550,653,3.0836363636363635,73.0,10.0,0.0,0.206,0.794,-0.27115,-0.296
Billy Joel and Miley Cyrus Perform New York State of Mind at Madison Square Garden,394898,10419,188,579,55.420212765957444,3.0,0.0,0.4635,0.0,0.5365,0.78095,0.0
Bini the slam dunking basketball bunny - Meet the Record Breakers,66627,875,28,87,31.25,63.0,5.5,0.0,0.182,0.818,-0.4391,-0.3818
Binomios caninos: entre el valor y el heroísmo,75601,214,7,18,30.571428571428573,7.0,1.0,0.268,0.0,0.732,0.5106,0.0
Bishop Briggs - Dream (Audio),118076,8353,43,463,194.25581395348837,27.0,0.0,0.0,0.0,1.0,0.0,0.25
Bitch - Official Movie Trailer (2017),49048,250,156,53,1.6025641025641026,35.0,2.0,0.412,0.0,0.588,0.4215,-0.5859
Bizarre ‘Lava-Like’ Landslide Tears Through Hillside | National Geographic,31189,877,14,214,62.642857142857146,54.0,8.0,0.0,0.0,1.0,0.0,-0.4939
Björk: The Gate,433796,11766,326,1265,36.0920245398773,4.0,0.0,0.0,0.0,1.0,0.0,0.0
Blac Chyna Shaking Her Deflated Cakes Onstage at Amber Rose's Slutwalk 2017,6195,17,8,19,2.125,12.0,1.0,0.0,0.322,0.678,-0.5849,-0.1779
Black Highlighter & Black Blush Makeup TESTED | Beauty With Mi | Refinery29,29493,434,42,52,10.333333333333334,46.0,3.0,0.308,0.0,0.692,0.6652,0.5859
Black Mirror & Friends | The One Where Ross Invents San Junipero | Netflix,269772,6766,73,287,92.68493150684931,637.0,0.0,0.145,0.364,0.49,-0.8047,0.4767
Black Panther: New Trailer Finds Chadwick Boseman Taking the Throne - Movie Talk,89765,2447,129,605,18.96899224806202,2.0,1.5,0.156,0.0,0.8439999999999999,0.89915,0.0
Blade Runner 2049 - Movie Review,443779,15214,682,2172,22.30791788856305,3.0,0.0,0.323,0.054,0.623,0.8591,0.0
Blake Lively - Talks About Harvey Weinstein - GMA,678231,2139,723,747,2.95850622406639,147.0,5.0,0.079,0.101,0.82,0.0516,0.4404
Blake Lively's Daughter Eats Raw Meat Like a White Walker,1527062,18412,667,772,27.604197901049474,61.0,0.0,0.377,0.151,0.472,0.5267,0.3612
Blake Shelton - I'll Name The Dogs (Official Music Video),1984548,25976,2917,2345,8.905039424065821,8.0,0.5,0.462,0.0,0.538,0.7184,0.0
Blake Shelton - I'll Name the Dogs (Behind The Scenes),62826,1406,41,90,34.292682926829265,16.0,0.0,0.374,0.0,0.626,0.6988,0.0
Blimping,463465,8281,640,739,12.9390625,65.0,0.0,0.0,0.0,1.0,0.0,0.0
Blind People Describe Beauty,345495,10170,230,872,44.21739130434783,187.0,3.0,0.33,0.351,0.319,-0.0516,0.2732
Blind People Describe Racism,508123,12467,987,2849,12.631205673758865,20.0,0.0,0.262,0.0,0.738,0.5994,-0.7783
Blindfolded Makeup Challenge | Jordyn Does Kylie's Makeup While Blindfolded,1508080,64052,2108,2735,30.38519924098672,5.0,0.5,0.04925,0.0645,0.88625,-0.04049999999999998,0.0772
Blue Planet II : The Prequel,1280236,33381,289,2278,115.50519031141869,4.0,0.0,0.0,0.0,1.0,0.0,0.0
Blue Planet II Trailer 2 - BBC Earth,88965,3804,22,348,172.9090909090909,258.0,11.0,0.506,0.0,0.494,0.729,0.0
Bob Shoop addresses the Vols’ final play against Florida,9139,17,5,100,3.4,2.0,5.0,0.162,0.134,0.704,0.23,0.34
"Bobby Roode calls out Dolph Ziggler: SmackDown LIVE, Sept. 26, 2017",888714,17115,838,2417,20.4236276849642,2.0,0.0,0.0,0.0,1.0,0.0,0.0
Bobi Andonov - Apartment (Official Video),273780,1292,106,138,12.18867924528302,36.0,3.0,0.192,0.0,0.808,0.2263,0.0
Boeing Sponsors GoFly,18220,418,13,44,32.15384615384615,8.0,2.5,0.145,0.162,0.694,-0.0772,0.0
Bon Iver - 8 (circle) | One To One,401135,7890,127,319,62.125984251968504,291.0,8.0,0.0,0.428,0.572,-0.3052,0.0
Bonnie McKee - Thorns,26054,1607,44,145,36.52272727272727,68.0,4.0,0.412,0.0,0.588,0.7104,0.0
Box of Lies with Margot Robbie,1109607,19554,482,1040,40.56846473029045,1.0,0.0,0.16241666666666665,0.11991666666666667,0.7176666666666667,0.11238333333333335,-0.4215
Boy Honks After Swallowing Toy Horn,364644,772,111,130,6.954954954954955,278.0,4.0,0.291,0.239,0.47,0.2973,0.0
Boyfriend Buys My Outfits | Grav3yardgirl,429686,33915,358,6287,94.73463687150839,3.0,0.0,0.398,0.0,0.602,0.9422,0.0
Brad Paisley - Heaven South,168363,2434,74,142,32.891891891891895,19.0,1.0,0.307,0.0,0.693,0.7964,0.5106
Brain Surgery Costs HOW MUCH $$ !?!,55279,2637,69,1050,38.217391304347835,1.0,0.15,0.19039999999999999,0.07805000000000002,0.7315499999999999,0.14877,0.0
Brett Eldredge - The Long Way (Official Music Video),2033928,16290,988,696,16.487854251012145,3.0,1.0,0.206,0.0,0.794,0.31845,0.0
Brian Lewerke's 14-Yard Touchdown vs. Michigan,155230,586,352,234,1.6647727272727273,186.0,4.0,0.126,0.0,0.874,0.3182,0.0
Bruno Mars - Just The Way You Are [ONE VOICE: SOMOS LIVE! Performance],2253576,151922,970,9389,156.62061855670103,6.0,0.0,0.194,0.0,0.806,0.7405,0.0
Bruno Mars That's What I Like Acoustic Remix | Charlie Rose,326208,8287,85,444,97.49411764705883,122.0,6.0,0.353,0.108,0.539,0.947,0.3612
Bu Reveals What Ended Relationship With Tracee Ellis Ross,33142,87,235,156,0.3702127659574468,121.0,11.5,0.0,0.0,1.0,0.0,0.0
Building My Sukkah - Mayim Bialik,30948,3175,39,421,81.41025641025641,5.0,0.0,0.0,0.0,1.0,0.0,0.0
Building a Solar Powered Workshop,697441,37350,906,1617,41.22516556291391,50.0,2.0,0.0,0.0,1.0,0.0,0.0
Building the Ultimate PS4 Pro,889108,30310,1506,4431,20.126162018592296,2263.0,184.0,0.227,0.148,0.625,0.25,0.0
Burning Ravens Gear,16081,864,38,276,22.736842105263158,35.0,6.0,0.101,0.135,0.764,-0.9488,0.0
Burning device filmed on tube carriage at Parsons Green station,1137938,2928,1170,2994,2.5025641025641026,160.0,8.0,0.0,0.0,1.0,0.0,0.0
