video_id,category_id,views,likes_x,dislikes,comment_total,L/D,likes_y,replies,poitive_score,negative_score,neutral_score,compound_score
-Egtbs-go4Q,28,218853.0,9184.0,164.0,896.0,56.0,0.05,0.0,0.11538,0.11058000000000001,0.7740399999999998,-0.01868300000000001
-Egtbs-go4Q,29,,,,,,,,,,,
-Egtbs-go4Q,43,,,,,,,,,,,
-FMGfnYJ1hE,1,,,,,,,,,,,
-FMGfnYJ1hE,2,,,,,,,,,,,
-FMGfnYJ1hE,10,,,,,,,,,,,
-FMGfnYJ1hE,15,,,,,,,,,,,
-FMGfnYJ1hE,17,2631.0,1.0,2.0,0.0,0.5,,,0.0,0.0,1.0,0.0
-FMGfnYJ1hE,19,,,,,,,,,,,
-FMGfnYJ1hE,20,,,,,,,,,,,
-FMGfnYJ1hE,22,,,,,,,,,,,
-FMGfnYJ1hE,23,,,,,,,,,,,
-FMGfnYJ1hE,24,,,,,,,,,,,
-FMGfnYJ1hE,25,,,,,,,,,,,
-FMGfnYJ1hE,26,,,,,,,,,,,
-FMGfnYJ1hE,27,,,,,,,,,,,
-FMGfnYJ1hE,28,,,,,,,,,,,
-FMGfnYJ1hE,29,,,,,,,,,,,
-FMGfnYJ1hE,43,,,,,,,,,,,
-Ifnaxi2LQg,1,,,,,,,,,,,
-Ifnaxi2LQg,2,,,,,,,,,,,
-Ifnaxi2LQg,10,3908558.0,130883.0,10147.0,8631.0,12.898689267763972,0.15714285714285714,0.01,0.1831314285714287,0.0906357142857143,0.7248271428571412,0.12741999999999967
-Ifnaxi2LQg,15,,,,,,,,,,,
-Ifnaxi2LQg,17,,,,,,,,,,,
-Ifnaxi2LQg,19,,,,,,,,,,,
-Ifnaxi2LQg,20,,,,,,,,,,,
-Ifnaxi2LQg,22,,,,,,,,,,,
-Ifnaxi2LQg,23,,,,,,,,,,,
-Ifnaxi2LQg,24,,,,,,,,,,,
-Ifnaxi2LQg,25,,,,,,,,,,,
-Ifnaxi2LQg,26,,,,,,,,,,,
-Ifnaxi2LQg,27,,,,,,,,,,,
-Ifnaxi2LQg,28,,,,,,,,,,,
-Ifnaxi2LQg,29,,,,,,,,,,,
-Ifnaxi2LQg,43,,,,,,,,,,,
-Jdc7FXupWQ,1,,,,,,,,,,,
-Jdc7FXupWQ,2,,,,,,,,,,,
-Jdc7FXupWQ,10,51931.0,2893.0,66.0,320.0,43.83333333333348,3.6375,0.1,0.3019225,0.03087499999999999,0.6672025000000004,0.39623175000000027
-Jdc7FXupWQ,15,,,,,,,,,,,
-Jdc7FXupWQ,17,,,,,,,,,,,
-Jdc7FXupWQ,19,,,,,,,,,,,
-Jdc7FXupWQ,20,,,,,,,,,,,
-Jdc7FXupWQ,22,,,,,,,,,,,
-Jdc7FXupWQ,23,,,,,,,,,,,
-Jdc7FXupWQ,24,,,,,,,,,,,
-Jdc7FXupWQ,25,,,,,,,,,,,
-Jdc7FXupWQ,26,,,,,,,,,,,
-Jdc7FXupWQ,27,,,,,,,,,,,
-Jdc7FXupWQ,28,,,,,,,,,,,
